name,email,joined_date,country,bet_status
Alice,alice@example.com,2026-05-01,Singapore,active
Bob,bob@example.com,2026-05-02,Australia,completed
Charlie,charlie@example.com,2026-05-03,India,active
Diana,diana@example.com,2026-05-04,Malaysia,inactive
Ethan,ethan@example.com,2026-05-05,Singapore,active
Fatima,fatima@example.com,2026-05-06,Australia,completed
Grace,grace@example.com,2026-05-07,Japan,active
Hiro,hiro@example.com,2026-05-08,India,inactive
Isabella,isabella@example.com,2026-05-09,Malaysia,completed
Jin,jin@example.com,2026-05-10,Singapore,active
Kavi,kavi@example.com,2026-05-11,India,active
Lina,lina@example.com,2026-05-12,Australia,completed
Mateo,mateo@example.com,2026-05-13,Canada,inactive
Nora,nora@example.com,2026-05-14,Malaysia,active
Omar,omar@example.com,2026-05-15,Singapore,completed
Priya,priya@example.com,2026-05-16,India,active
Quinn,quinn@example.com,2026-05-17,Canada,inactive
Ravi,ravi@example.com,2026-05-18,Australia,completed
Sophia,sophia@example.com,2026-05-19,Malaysia,active
Tariq,tariq@example.com,2026-05-20,Singapore,active
